acquireload,fillrandom,snappyuncomp,snappycomp,crc32c,fill100K,readreverse,readseq,readrandom,overwrite,fillsync,fillseq,
2.604167,0.262674,1.303781,0.178635,0.031250,0.010000,2.785515,4.201681,0.174917,0.206271,0.000108,0.377643,
2.604167,0.266880,1.317523,0.179824,0.031250,0.010000,2.915452,4.385965,0.201898,0.213995,0.000109,0.392927,
2.610966,0.269251,1.340483,0.181521,0.031250,0.010000,3.236246,4.716981,0.223015,0.226142,0.000109,0.397141,
2.610966,0.273075,1.356852,0.183083,0.031250,0.010000,3.300330,4.926108,0.267094,0.229674,0.000109,0.399042,
2.610966,0.277008,1.379310,0.186463,0.031250,0.010000,3.436426,5.076142,0.296296,0.234137,0.000110,0.401445,
1000.000000,29.100000,5095.399902,697.799988,2351.800049,100.500000,308.200012,465.600006,1000000.000000,22.799999,0.000000,41.799999,
1000.000000,29.500000,5149.799805,702.400024,2355.300049,103.599998,322.600006,485.399994,1000000.000000,23.700001,0.000000,43.500000,
1000.000000,29.799999,5235.600098,709.099976,2357.699951,104.300003,358.100006,521.700012,1000000.000000,25.000000,0.000000,43.900002,
1000.000000,30.200001,5297.299805,715.200012,2362.399902,104.400002,365.700012,545.099976,1000000.000000,25.400000,0.000000,44.099998,
1000.000000,30.600000,5390.600098,728.400024,2364.699951,105.400002,379.899994,562.400024,1000000.000000,25.900000,0.000000,44.400002,
